holiday,temp,rain_1h,snow_1h,clouds_all,weather_main,weather_description,date_time,traffic_volume
None,282.73,0.00,0.00,48,Clouds,scattered clouds,2012-10-02 09:00:00,2797
None,281.75,0.00,0.00,6,Clear,sky is clear,2012-10-02 10:00:00,2593
None,282.52,0.00,0.00,77,Clouds,broken clouds,2012-10-02 11:00:00,2502
None,283.35,0.00,0.00,46,Clouds,broken clouds,2012-10-02 12:00:00,3063
None,284.56,0.00,0.00,14,Clear,sky is clear,2012-10-02 13:00:00,3232
None,282.09,4.66,0.00,74,Rain,light rain,2012-10-02 14:00:00,2583
None,284.65,0.00,0.00,11,Clear,sky is clear,2012-10-02 15:00:00,4215
None,284.70,0.00,0.00,50,Clouds,broken clouds,2012-10-02 16:00:00,4289
None,287.47,0.00,0.00,17,Clear,sky is clear,2012-10-02 17:00:00,4339
None,284.67,0.62,0.00,80,Rain,light rain,2012-10-02 18:00:00,3186
None,283.83,0.00,0.00,74,Clouds,scattered clouds,2012-10-02 19:00:00,2648
None,277.73,0.00,0.00,72,Clouds,scattered clouds,2012-10-02 20:00:00,2223
None,278.68,0.00,0.00,13,Clear,sky is clear,2012-10-02 21:00:00,857
None,284.02,0.00,0.00,83,Clouds,scattered clouds,2012-10-02 22:00:00,844
None,278.53,0.00,0.00,13,Clear,sky is clear,2012-10-02 23:00:00,763
None,277.07,0.00,0.00,3,Clear,sky is clear,2012-10-03 00:00:00,802
None,279.63,0.00,0.00,89,Clouds,scattered clouds,2012-10-03 01:00:00,1113
None,280.99,0.00,0.00,9,Clear,sky is clear,2012-10-03 02:00:00,627
None,276.73,0.00,0.00,17,Clear,sky is clear,2012-10-03 03:00:00,478
None,276.90,0.00,0.00,53,Clouds,scattered clouds,2012-10-03 04:00:00,1562
None,275.28,0.00,0.00,68,Clouds,broken clouds,2012-10-03 05:00:00,1974
None,280.84,0.00,0.00,18,Clear,sky is clear,2012-10-03 06:00:00,2860
None,282.43,0.00,0.00,2,Clear,sky is clear,2012-10-03 07:00:00,3277
None,279.43,0.00,0.00,70,Clouds,scattered clouds,2012-10-03 08:00:00,2874
None,282.89,0.00,0.00,13,Clear,sky is clear,2012-10-03 09:00:00,2903
None,283.84,0.00,0.00,52,Fog,fog,2012-10-03 10:00:00,2492
None,282.88,0.00,0.00,2,Clear,sky is clear,2012-10-03 11:00:00,2885
None,288.46,6.80,0.00,91,Rain,moderate rain,2012-10-03 12:00:00,2667
None,286.60,0.00,0.00,14,Clear,sky is clear,2012-10-03 13:00:00,3170
None,283.72,0.00,0.00,43,Clouds,broken clouds,2012-10-03 14:00:00,3461
None,287.31,0.00,0.00,16,Clear,sky is clear,2012-10-03 15:00:00,3985
None,288.64,0.00,0.00,12,Clear,sky is clear,2012-10-03 16:00:00,4548
None,282.30,0.00,0.00,60,Clouds,scattered clouds,2012-10-03 17:00:00,4502
None,281.61,0.00,0.00,9,Clear,sky is clear,2012-10-03 18:00:00,3841
None,289.81,0.00,0.00,74,Clouds,scattered clouds,2012-10-03 19:00:00,2546
None,283.54,0.00,0.00,9,Clear,sky is clear,2012-10-03 20:00:00,1714
None,282.01,0.00,0.00,47,Fog,fog,2012-10-03 21:00:00,759
None,279.73,0.00,0.00,53,Clouds,scattered clouds,2012-10-03 22:00:00,1220
None,279.65,0.00,2.18,71,Snow,light snow,2012-10-03 23:00:00,593
None,275.40,0.00,0.00,17,Clear,sky is clear,2012-10-04 00:00:00,926
None,274.05,0.00,2.95,52,Snow,light snow,2012-10-04 01:00:00,514
None,279.11,0.00,0.00,79,Mist,mist,2012-10-04 02:00:00,839
None,277.14,0.00,0.00,86,Mist,mist,2012-10-04 03:00:00,287
None,277.70,0.00,3.38,100,Snow,heavy snow,2012-10-04 04:00:00,637
None,278.32,3.74,0.00,74,Rain,moderate rain,2012-10-04 05:00:00,1929
None,281.44,0.00,0.00,11,Clear,sky is clear,2012-10-04 06:00:00,2983
None,283.18,0.00,0.00,8,Clear,sky is clear,2012-10-04 07:00:00,3599
None,279.88,0.00,0.00,19,Clear,sky is clear,2012-10-04 08:00:00,3134
None,281.12,0.00,0.00,17,Clear,sky is clear,2012-10-04 09:00:00,2757
None,281.35,0.00,0.00,86,Clouds,broken clouds,2012-10-04 10:00:00,2735
None,282.32,0.00,0.00,6,Clear,sky is clear,2012-10-04 11:00:00,2456
None,283.19,0.00,0.00,59,Clouds,scattered clouds,2012-10-04 12:00:00,3218
None,283.67,0.00,0.00,72,Clouds,scattered clouds,2012-10-04 13:00:00,3381
None,287.09,0.00,0.00,20,Clear,sky is clear,2012-10-04 14:00:00,3584
None,283.81,0.00,0.00,4,Clear,sky is clear,2012-10-04 15:00:00,4277
None,281.01,4.65,0.00,85,Rain,light rain,2012-10-04 16:00:00,3624
None,284.73,3.46,0.00,93,Rain,light rain,2012-10-04 17:00:00,3984
None,285.47,0.00,0.00,16,Clear,sky is clear,2012-10-04 18:00:00,3824
None,284.83,0.00,0.00,13,Clear,sky is clear,2012-10-04 19:00:00,2127
None,279.01,6.73,0.00,93,Rain,moderate rain,2012-10-04 20:00:00,1538
None,281.33,0.00,0.00,45,Clouds,broken clouds,2012-10-04 21:00:00,1335
None,280.58,0.00,0.00,10,Clear,sky is clear,2012-10-04 22:00:00,1145
None,281.34,0.00,0.00,0,Clear,sky is clear,2012-10-04 23:00:00,682
None,278.41,0.00,0.00,13,Clear,sky is clear,2012-10-05 00:00:00,372
None,277.24,0.00,0.00,10,Clear,sky is clear,2012-10-05 01:00:00,828
None,279.74,0.00,4.54,55,Snow,light snow,2012-10-05 02:00:00,597
None,277.04,0.00,0.00,14,Clear,sky is clear,2012-10-05 03:00:00,1076
None,278.04,0.75,0.00,94,Rain,light rain,2012-10-05 04:00:00,857
None,275.75,7.60,0.00,61,Rain,light rain,2012-10-05 05:00:00,1249
None,280.44,0.00,0.00,8,Clear,sky is clear,2012-10-05 06:00:00,2744
None,279.36,0.00,0.00,46,Clouds,broken clouds,2012-10-05 07:00:00,3392
None,282.06,0.00,0.00,44,Clouds,broken clouds,2012-10-05 08:00:00,3265
None,281.70,0.00,0.00,19,Clear,sky is clear,2012-10-05 09:00:00,2345
None,280.45,0.00,0.00,16,Clear,sky is clear,2012-10-05 10:00:00,2660
None,281.42,0.00,0.00,85,Clouds,scattered clouds,2012-10-05 11:00:00,2806
None,283.52,0.00,0.00,57,Mist,mist,2012-10-05 12:00:00,3155
None,284.75,0.00,0.00,8,Clear,sky is clear,2012-10-05 13:00:00,3681
None,284.66,0.00,0.00,51,Clouds,scattered clouds,2012-10-05 14:00:00,3486
None,287.42,0.00,0.00,8,Clear,sky is clear,2012-10-05 15:00:00,3673
None,282.90,0.00,0.00,7,Clear,sky is clear,2012-10-05 16:00:00,4522
None,285.79,5.57,0.00,97,Rain,light rain,2012-10-05 17:00:00,3799
None,282.21,0.00,0.00,66,Haze,haze,2012-10-05 18:00:00,3203
None,279.85,0.00,0.00,5,Clear,sky is clear,2012-10-05 19:00:00,2470
None,282.36,0.00,0.00,93,Clouds,scattered clouds,2012-10-05 20:00:00,1349
None,280.88,0.00,0.00,1,Clear,sky is clear,2012-10-05 21:00:00,1026
None,280.13,0.00,0.00,76,Clouds,scattered clouds,2012-10-05 22:00:00,821
None,283.66,0.00,0.00,15,Clear,sky is clear,2012-10-05 23:00:00,1012
None,279.39,0.00,0.00,100,Clouds,scattered clouds,2012-10-06 00:00:00,847
None,274.91,1.88,0.00,88,Rain,light rain,2012-10-06 01:00:00,531
None,275.30,0.00,0.00,3,Clear,sky is clear,2012-10-06 02:00:00,622
None,277.31,0.00,0.00,5,Clear,sky is clear,2012-10-06 03:00:00,1139
None,277.65,0.00,0.00,14,Clear,sky is clear,2012-10-06 04:00:00,1257
None,278.13,0.00,0.00,74,Clouds,scattered clouds,2012-10-06 05:00:00,864
None,279.41,2.53,0.00,78,Rain,light rain,2012-10-06 06:00:00,1015
None,278.80,0.00,0.00,14,Clear,sky is clear,2012-10-06 07:00:00,1584
None,280.11,0.00,0.00,18,Clear,sky is clear,2012-10-06 08:00:00,1635
None,281.25,0.00,0.00,81,Clouds,scattered clouds,2012-10-06 09:00:00,1661
None,281.31,0.00,0.00,66,Clouds,scattered clouds,2012-10-06 10:00:00,2064
None,281.16,0.00,0.00,12,Clear,sky is clear,2012-10-06 11:00:00,2423
None,286.55,0.00,0.00,16,Clear,sky is clear,2012-10-06 12:00:00,2696
None,285.34,0.00,0.00,15,Clear,sky is clear,2012-10-06 13:00:00,2693
None,286.94,0.00,0.00,47,Clouds,scattered clouds,2012-10-06 14:00:00,2341
None,285.03,0.00,0.00,45,Clouds,broken clouds,2012-10-06 15:00:00,2322
